trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.95, 'e': 0.5978339822872982}",20,0,-17.419763866464265,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.95, 'e': 0.5897880250310983}",25,0,-111.89299763251324,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
95,False,"{'a': 0.95, 'e': 0.5816830894638835}",25,7,-28.82463560089877,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
96,False,"{'a': 0.95, 'e': 0.5735199860724567}",35,17,-56.433882707189134,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
97,False,"{'a': 0.95, 'e': 0.5652995311603544}",20,13,-4.438399762869366,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.95, 'e': 0.5570225467662173}",25,0,-52.481234249832454,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.95, 'e': 0.5486898605815876}",20,11,4.520570104659775,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.95, 'e': 0.5403023058681398}",20,0,-6.163283352730561,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.95, 'e': 0.5318607213743555}",20,1,-38.4796635588454,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.95, 'e': 0.5233659512516496}",20,7,-33.26676713821524,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.95, 'e': 0.5148188449699553}",25,2,-104.68812511122859,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 2}",1
104,False,"{'a': 0.95, 'e': 0.5062202572327784}",30,0,-55.60199553707312,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.95, 'e': 0.497571047891727}",20,8,-28.969634275074228,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.95, 'e': 0.48887208186052755}",25,12,15.542785395572542,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.95, 'e': 0.48012422902853413}",25,12,15.543693092245363,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.95, 'e': 0.47132836417373997}",20,13,4.175071301119001,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.95, 'e': 0.4624853668753008}",20,5,-0.35612341293733896,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.95, 'e': 0.4535961214255773}",25,9,-54.630941059148014,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.95, 'e': 0.44466151674170673}",20,11,-47.23709998753235,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.95, 'e': 0.43568244627671204}",30,12,29.63697867640027,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.95, 'e': 0.42665980793015723}",30,9,2.9971755454674924,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.95, 'e': 0.41759450395835795}",20,10,-24.610914402180516,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.95, 'e': 0.40848744088415717}",25,0,-20.527767168314366,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.95, 'e': 0.3993395294062732}",20,0,-18.097933354698764,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.95, 'e': 0.3901516843082303}",20,7,-68.31165678178562,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.95, 'e': 0.3809248243668818}",25,0,-53.105963327984895,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
119,False,"{'a': 0.95, 'e': 0.371659872260533}",25,1,-2.666947180030945,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.95, 'e': 0.3623577544766736}",30,0,-12.670736299682307,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
121,False,"{'a': 0.95, 'e': 0.35301940121933034}",30,11,1.0179250535157809,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.95, 'e': 0.34364574631604705}",30,0,4.195228619636566,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
